,Protein names,Peptide counts (razor+unique),Ratio H/L normalized
572,Transcriptional regulatory protein CpxR,1,28.615
374,Fumarate and nitrate reduction regulatory protein,4,18.625999999999998
419,Transcriptional regulatory protein OmpR,1,18.089000000000002
1253,HTH-type transcriptional repressor BluR,1,11.215
412,HTH-type transcriptional regulator UlaR,9,10.567
507,DNA-binding protein HU-alpha,4,9.4135
753,Acetate operon repressor,3,4.6995
1004,Curved DNA-binding protein,7,4.5917
375,HTH-type transcriptional regulator CysB,3,4.2984
335,HTH-type transcriptional regulator ArgP,4,3.8462
570,Transcriptional regulatory protein YpdB,2,3.4076
43,DNA polymerase I,23,2.9747
1024,Psp operon transcriptional activator,1,2.8407
509,DNA-binding protein H-NS,3,2.8343
284,DNA-directed RNA polymerase subunit alpha,5,2.6512
108,DNA topoisomerase 1,27,2.5639
719,Uracil-DNA glycosylase,1,2.4942
821,Transcriptional regulatory protein PhoP,3,2.4356
1307,HTH-type transcriptional regulator MurR,3,2.4108
513,Deoxyribose operon repressor,5,2.2622
752,DNA replication terminus site-binding protein,6,2.1637
906,DNA polymerase III subunit delta,1,2.1493
103,HTH-type transcriptional regulator IlvY,4,2.0174
337,DNA-directed RNA polymerase subunit beta,19,1.8223
512,cAMP-activated global transcriptional regulator CRP,13,1.7419
1104,HTH-type transcriptional regulator FrlR,4,1.723
1131,Uncharacterized HTH-type transcriptional regulator YgbI,3,1.6716
373,Arabinose operon regulatory protein,3,1.5797
649,Sigma-E factor regulatory protein RseB,2,1.4239
779,DNA topoisomerase 4 subunit B,11,1.3703
77,Lactose operon repressor,1,1.1371
617,Nitrate/nitrite response regulator protein NarL,7,1.0969
1275,Transcriptional regulator KdgR,3,0.8921899999999999
449,Penicillin-binding protein activator LpoB,2,0.8601
515,Glycerol-3-phosphate regulon repressor,2,0.85893
601,DNA gyrase subunit B,15,0.81102
306,Probable transcriptional regulatory protein YebC,10,0.70268
1252,Putative lambdoid prophage e14 repressor protein C2,1,0.66493
539,Murein hydrolase activator NlpD,4,0.58846
1256,Uncharacterized HTH-type transcriptional regulator YciT,5,0.29474
